Washer	BBox	0.714	0.1731	0.7651	0.2666
Washer	BBox	0.7687	0.3981	0.8203	0.4907
Washer	BBox	0.7713	0.512	0.8239	0.6009
Washer	BBox	0.7557	0.6018	0.8078	0.687
Washer	BBox	0.7145	0.674	0.7666	0.7629
Screw	BBox	0.7437	0.2454	0.7865	0.363
Screw	BBox	0.7422	0.4722	0.7698	0.5944
Nut	BBox	0.7718	0.2796	0.8052	0.3342
Nut	BBox	0.7781	0.3379	0.8124	0.3953
Nut	BBox	0.7427	0.3722	0.7744	0.425
Nut	BBox	0.7244	0.4361	0.7572	0.4916
Nut	BBox	0.7166	0.5157	0.7494	0.5703
Nut	BBox	0.7666	0.6851	0.7999	0.7435
Nut	BBox	0.7348	0.7564	0.7687	0.8166
Washer	BBox	0.1088	0.0203	0.1505	0.1027
Screw	BBox	0.1182	0.0898	0.151	0.1907
