Nut	BBox	0.1151	0.0657	0.1421	0.1212
Nut	BBox	0.2036	0.125	0.2317	0.1805
Screw	BBox	0.3098	0.1731	0.3703	0.2768
Washer	BBox	0.2494	0.5379	0.301	0.6314
Screw	BBox	0.4239	0.1342	0.4963	0.1888
Screw	BBox	0.4604	0.0972	0.5291	0.1546
Screw	BBox	0.5515	0.0472	0.6213	0.1064
Screw	BBox	0.2614	0.7194	0.3036	0.8379
Washer	BBox	0.3281	0.8592	0.3765	0.9444
Washer	BBox	0.4609	0.5574	0.5114	0.649
Washer	BBox	0.5062	0.4564	0.5578	0.549
Washer	BBox	0.5604	0.462	0.613	0.5564
Washer	BBox	0.6197	0.5064	0.6708	0.5962
Washer	BBox	0.6125	0.6287	0.6635	0.7166
Washer	BBox	0.5723	0.6972	0.6239	0.787
Washer	BBox	0.4802	0.6509	0.5291	0.7398
Washer	BBox	0.5114	0.7185	0.563	0.8092
Nut	BBox	0.5135	0.575	0.5463	0.6305
Nut	BBox	0.5489	0.5731	0.5807	0.6259
Nut	BBox	0.576	0.6194	0.6093	0.6768
Nut	BBox	0.5369	0.662	0.5697	0.7157
