Screw	BBox	0.3864	0.0268	0.4395	0.137
Screw	BBox	0.3963	0.2851	0.4625	0.3675
Screw	BBox	0.5072	0.2546	0.5687	0.35
Screw	BBox	0.4958	0.3768	0.564	0.4444
Screw	BBox	0.5536	0.5037	0.6213	0.599
Screw	BBox	0.413	0.5611	0.4791	0.6388
Screw	BBox	0.5218	0.674	0.5479	0.8046
Screw	BBox	0.4442	0.7842	0.4953	0.8981
Nut	BBox	0.4104	0.1601	0.4437	0.2185
Nut	BBox	0.3671	0.4481	0.3989	0.5101
Nut	BBox	0.4937	0.7018	0.5244	0.7685
Nut	BBox	0.4682	0.7796	0.501	0.8416
Washer	BBox	0.4072	0.6	0.4583	0.6833
Washer	BBox	0.3984	0.374	0.4494	0.4666
