Screw	BBox	0.2619	0.0555	0.3203	0.0953
Nut	BBox	0.3114	0.0925	0.3385	0.1453
Washer	BBox	0.7182	0.2101	0.7703	0.3037
Washer	BBox	0.3921	0.4888	0.4427	0.5787
Washer	BBox	0.3932	0.749	0.4437	0.8351
Washer	BBox	0.5218	0.7333	0.5723	0.8194
Washer	BBox	0.4427	0.8703	0.4932	0.9574
Washer	BBox	0.4807	0.2259	0.5322	0.3157
Washer	BBox	0.5322	0.2314	0.5822	0.3212
Nut	BBox	0.4812	0.3333	0.514	0.3879
Nut	BBox	0.5145	0.3148	0.5447	0.3694
Nut	BBox	0.5453	0.3222	0.576	0.3759
Nut	BBox	0.5572	0.3777	0.5916	0.4324
Washer	BBox	0.5052	0.3731	0.5567	0.462
Washer	BBox	0.7114	0.7935	0.7625	0.8833
Washer	BBox	0.5932	0.95	0.6453	0.999
