Screw	BBox	0.751	0.024	0.813	0.1462
Screw	BBox	0.8265	0.3648	0.8682	0.4962
Screw	BBox	0.5609	0.3314	0.6255	0.4379
Screw	BBox	0.4828	0.3722	0.5447	0.4796
Screw	BBox	0.5109	0.5324	0.5796	0.6268
Nut	BBox	0.5171	0.2935	0.5489	0.3537
Washer	BBox	0.5531	0.2287	0.6072	0.3268
Nut	BBox	0.6078	0.2444	0.6395	0.3046
Nut	BBox	0.5869	0.3129	0.6197	0.3712
Washer	BBox	0.6119	0.4009	0.6671	0.499
Washer	BBox	0.4687	0.5407	0.5223	0.6324
Washer	BBox	0.5916	0.5527	0.6453	0.6462
Nut	BBox	0.5057	0.4444	0.5416	0.5018
Nut	BBox	0.5447	0.4787	0.577	0.537
Nut	BBox	0.5682	0.5203	0.5994	0.5814
Nut	BBox	0.6338	0.4981	0.6687	0.5555
Nut	BBox	0.4708	0.3768	0.5046	0.4333
Washer	BBox	0.1843	0.037	0.2296	0.1231
